Trimestre;Tipo de producto;Corredor;Empresa;Tipo de servicio;Ingresos por venta de billetes;Plazas Ofertadas;Plazas.km Ofertadas (Plazas.km);Tren.km (Tren.km);Viajeros;Viajeros.km (Viajeros.km)
2016T4;MD AV;Total;Total;OSP;;;433510721;1447282;1920548;234947695
2016T4;MD Convencional;Total;Total;OSP;;;2090407454;8669562;5626815;530276178
2017T1;Cercanías;Total;Total;OSP;;;5928258015;16995461;107296795;2051892625
2017T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;;193867080;572168;360739;136613485
2017T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;;1288368245;3096645;1960745;921822489
2017T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;;346696686;1013037;531912;245667293
2017T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;;451624975;1319709;820601;347788710
2017T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;;306020942;829335;590802;225801098
2017T1;LD AV;Resto;Total;Comercial;;;555333277;1106895;621631;391565218
2017T1;LD Convencional;Total;Total;Comercial;;;1829038953;6937992;2589183;1038619577
2017T1;MD AV;Total;Total;OSP;;;421800427;1452686;1815866;214611200
2017T1;MD Convencional;Total;Total;OSP;;;2045334040;8552251;5355504;495101632
2017T2;Cercanías;Total;Total;OSP;;;5837487670;16906372;107408429;2037340196
2017T2;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;;233686058;669066;448245;173658509
2017T2;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;;1367935542;3162071;2228142;1071631621
2017T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;;377698815;1149348;673606;311652599
2017T2;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;;480393154;1453123;909090;383140917
2017T2;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;;303909813;825406;642522;245820934
2017T2;LD AV;Resto;Total;Comercial;;;665959047;1176274;814444;524723600
2017T2;LD Convencional;Total;Total;Comercial;;;1918045626;7136508;3042463;1253776612
2017T2;MD AV;Total;Total;OSP;;;424911590;1457755;1969101;238148950
2017T2;MD Convencional;Total;Total;OSP;;;2066729013;8599127;6189605;587630072
2017T3;Cercanías;Total;Total;OSP;;;5543454832;16425146;94985366;1804884850
2017T3;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;;244365954;717770;452006;180935716
2017T3;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;;1186670377;2707493;1910619;915657098
2017T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;;380064258;1129353;665530;314764833
2017T3;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;;402075587;1215486;728121;307834391
2017T3;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;;286958827;802068;567722;217398544
2017T3;LD AV;Resto;Total;Comercial;;;765713106;1243741;925444;626482644
2017T3;LD Convencional;Total;Total;Comercial;;;2029427890;7367543;3338638;1427155854
2017T3;MD AV;Total;Total;OSP;;;418198203;1457178;1676069;201815163
2017T3;MD Convencional;Total;Total;OSP;;;2100722972;8690634;6184117;614851675
2017T4;Cercanías;Total;Total;OSP;;;5790793042;16731259;113959314;2153427775
2017T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;;206823786;603494;391458;149580945
2017T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;;1340448742;3112397;2053760;956608595
2017T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;;369068407;1082541;605253;279168298
2017T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;;465023780;1370698;877131;370816558
2017T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;;341202172;920700;634384;242571673
2017T4;LD AV;Resto;Total;Comercial;;;601318424;1111818;693779;437655551
2017T4;LD Convencional;Total;Total;Comercial;;;1876454612;6961445;2795842;1132304871
2017T4;MD AV;Total;Total;OSP;;;483184384;1451998;2191819;262869859
2017T4;MD Convencional;Total;Total;OSP;;;2098729217;8624920;5944686;560189336
2018T1;Cercanías;Total;Total;OSP;;110902963;5808314666;16735482;106578410;2014357127
2018T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;479075;217498382;691322;400765;153502692
2018T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2178714;1262976573;3053523;1834185;909972693
2018T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;697073;357598449;1057724;563199;260702116
2018T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;988707;465680997;1366518;836357;353576514
2018T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;864296;343861788;1016171;638226;245625504
2018T1;LD AV;Resto;Total;Comercial;;539994;576718791;1076880;668664;418667569
2018T1;LD Convencional;Total;Total;Comercial;;3434725;1917908833;6993423;2747321;1102729164
2018T1;MD AV;Total;Total;OSP;;3006053;468678541;1442829;2095132;245129748
2018T1;MD Convencional;Total;Total;OSP;;13202983;2047801218;8454987;5480986;513073634
2018T2;Cercanías;Total;Total;OSP;;112473805;5884411135;16948300;116417998;2187820297
2018T2;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;505975;229712650;630935;442879;171378533
2018T2;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2355667;1396093981;3278265;2161962;1091568726
2018T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;755139;387386307;1095055;674043;311983523
2018T2;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1090766;513381375;1439452;982789;413491644
2018T2;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;850550;340646123;894335;662091;254426242
2018T2;LD AV;Resto;Total;Comercial;;567406;663811015;1019924;753368;490712229
2018T2;LD Convencional;Total;Total;Comercial;;3596102;2012928749;7286988;3146953;1285455869
2018T2;MD AV;Total;Total;OSP;;3086848;424203195;1475087;2009720;273975670
2018T2;MD Convencional;Total;Total;OSP;;13614997;2090653662;8554276;6276267;583669908
2018T3;Cercanías;Total;Total;OSP;;107852154;5654100794;16109020;99613837;1885518073
2018T3;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;519374;235795796;716334;463628;184914525
2018T3;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1995818;1183710985;2707520;1816330;924464457
2018T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;777648;398933424;1139635;688702;326185088
2018T3;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;903206;424979226;1240290;767866;325463025
2018T3;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;745977;297262020;819881;584651;224736718
2018T3;LD AV;Resto;Total;Comercial;;632291;822487255;1268283;967357;656808705
2018T3;LD Convencional;Total;Total;Comercial;;3734833;2100474561;7438232;3434834;1451571872
2018T3;MD AV;Total;Total;OSP;;2940664;517487137;1461908;2279776;233302417
2018T3;MD Convencional;Total;Total;OSP;;13334080;2119773622;8603907;6323146;622981593
2018T4;Cercanías;Total;Total;OSP;;110652293;5834952235;16495967;117973137;2230226581
2018T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;490445;222662030;665132;426530;163890816
2018T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2296585;1336672931;3128465;2057259;1021080470
2018T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;772361;396221193;1056477;637295;294158565
2018T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1065734;501959178;1426176;931619;391726431
2018T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;856979;342198265;946749;646073;247604032
2018T4;LD AV;Resto;Total;Comercial;;574184;604460225;1110859;726493;452057617
2018T4;LD Convencional;Total;Total;Comercial;;3500328;1961455241;6978674;2944592;1193148370
2018T4;MD AV;Total;Total;OSP;;3052349;509327052;1468317;2269077;274811457
2018T4;MD Convencional;Total;Total;OSP;;13264966;2049935615;8392517;6134330;559688840
2019T1;Cercanías;Total;Total;OSP;;112047971;5935923947;16524598;115831948;2190227175
2019T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;477643;216154850;653973;402112;154094400
2019T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2289512;1320458765;3156919;1989990;982438346
2019T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;752487;386025831;1088298;599629;277834890
2019T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1042333;490938843;1402046;880500;371795721
2019T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;858585;341769323;953576;629123;241488697
2019T1;LD AV;Resto;Total;Comercial;;552701;569199784;1065349;653144;400905236
2019T1;LD Convencional;Total;Total;Comercial;;3420109;1815398611;6889842;2657646;1040699022
2019T1;MD AV;Total;Total;OSP;;3138753;491212237;1467170;2156368;254011771
2019T1;MD Convencional;Total;Total;OSP;;13345643;2027521916;8291610;5459225;483088369
2019T2;Cercanías;Total;Total;OSP;;116645331;6000308257;16756781;113127772;2140222014
2019T2;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;492561;222794742;671208;448871;175479262
2019T2;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2325886;1360571089;3191699;2216496;1113630205
2019T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;793161;407483943;1055245;721118;335513646
2019T2;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1089395;513105045;1426787;992023;415317819
2019T2;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;850283;338485058;947854;697542;268141114
2019T2;LD AV;Resto;Total;Comercial;;610034;701068398;1229146;872864;555465905
2019T2;LD Convencional;Total;Total;Comercial;;3602728;1931319131;7289021;3149248;1277590983
2019T2;MD AV;Total;Total;OSP;;3092269;483432467;1482117;2352336;282341064
2019T2;MD Convencional;Total;Total;OSP;;13703316;2060812633;8412143;6345439;565845130
2019T3;Cercanías;Total;Total;OSP;;121547663;5851758406;16116563;96770021;1830296568
2019T3;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;535733;242341438;715252;485659;195422624
2019T3;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2004182;1183331606;2533791;1899395;959711698
2019T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;975435;511224159;1415891;850876;407969709
2019T3;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;940853;443141763;1326210;805230;338933105
2019T3;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;751332;299982057;830559;644044;248412280
2019T3;LD AV;Resto;Total;Comercial;;609770;800969434;1316637;993221;658276718
2019T3;LD Convencional;Total;Total;Comercial;;3720289;2012110671;7249369;3442941;1450679784
2019T3;MD AV;Total;Total;OSP;;3051966;480804639;1481916;2028674;242855338
2019T3;MD Convencional;Total;Total;OSP;;13495754;2036737000;8254802;6313739;583307908
2019T4;Cercanías;Total;Total;OSP;;120160826;6069115965;16621614;117448712;2207725999
2019T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;486809;220161526;666332;431889;165584479
2019T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2251180;1339226655;3276591;2048559;1019556365
2019T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;965169;505912467;1282803;774050;361643775
2019T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1048629;493904259;1432057;936023;392253333
2019T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;866970;345070826;963234;700683;269272142
2019T4;LD AV;Resto;Total;Comercial;;627793;646196410;1250821;699781;442025799
2019T4;LD Convencional;Total;Total;Comercial;;3464408;1848140658;7034617;2896078;1153722461
2019T4;MD AV;Total;Total;OSP;;3200687;501279234;1480798;2340053;276492827
2019T4;MD Convencional;Total;Total;OSP;;13644980;2040663355;8374333;6138505;536048717
2020T1;Cercanías;Total;Total;OSP;;102865238;5417275183;16471389;93350777;1734267912
2020T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;421045;190427998;613757;325137;123958296
2020T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1840584;1109825720;2681438;1507899;753318038
2020T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;816305;427293531;1153472;569445;267769269
2020T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;889433;418897343;1277082;709035;299608518
2020T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;764417;303931718;874355;542676;208666886
2020T1;LD AV;Resto;Total;Comercial;;520080;574118830;1112374;518588;329250012
2020T1;LD Convencional;Total;Total;Comercial;;2721164;1464456393;6025249;1985396;794580527
2020T1;MD AV;Total;Total;OSP;;2834711;456300230;1452363;1852122;214082209
2020T1;MD Convencional;Total;Total;OSP;;12163720;1784398663;7854049;4632812;392670546
2020T2;Cercanías;Total;Total;OSP;;54955415;2944198165;13228250;26695556;495642012
2020T2;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;80684;36464570;191170;34102;13034618
2020T2;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;179052;116034489;515726;125221;59794797
2020T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;102635;53904065;281683;58733;26540125
2020T2;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;88363;41618973;196626;42289;18168925
2020T2;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;82504;32021716;155806;22017;8235199
2020T2;LD AV;Resto;Total;Comercial;;77398;63675257;277556;52746;38453048
2020T2;LD Convencional;Total;Total;Comercial;;522790;297261936;1858041;221129;96547022
2020T2;MD AV;Total;Total;OSP;;506178;87045750;499934;137540;22659974
2020T2;MD Convencional;Total;Total;OSP;;3360485;564968787;3582249;917277;84408557
2020T3;Cercanías;Total;Total;OSP;;104046637;5396317387;15211042;56242204;1055054120
2020T3;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;334759;151676646;449068;216068;85519836
2020T3;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;821051;507505833;1281420;493257;238115464
2020T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;480395;249618930;667699;314638;148697722
2020T3;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;346370;163140270;434131;215506;93518682
2020T3;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;452893;175601399;484531;206814;78228876
2020T3;LD AV;Resto;Total;Comercial;;335525;302267359;658561;300951;192074593
2020T3;LD Convencional;Total;Total;Comercial;;1591123;902117934;3223142;1073716;462114899
2020T3;MD AV;Total;Total;OSP;;1607046;274248853;948434;738665;94169542
2020T3;MD Convencional;Total;Total;OSP;;9299334;1506865633;5910869;3033069;291359924
2020T4;Cercanías;Total;Total;OSP;;107105398;5532261101;15377682;62487087;1163121663
2020T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;372887;169241818;522873;131197;45568807
2020T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1066027;632921778;1636453;488429;221877607
2020T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;434880;227738024;710978;183978;83627573
2020T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;363943;171417153;473224;171722;72882561
2020T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;516930;206824846;590958;156687;59050394
2020T4;LD AV;Resto;Total;Comercial;;394845;406532576;663816;215778;123098190
2020T4;LD Convencional;Total;Total;Comercial;;2275748;1181970408;4493997;1002295;378513030
2020T4;MD AV;Total;Total;OSP;;1736070;298699810;1004717;689862;86241757
2020T4;MD Convencional;Total;Total;OSP;;9728001;1534166365;6083723;2746805;234078414
2021T1;Cercanías;Total;Total;OSP;;101379832;5300690486;15148693;59196069;1107618103
2021T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;425963;194392642;619946;148405;51999668
2021T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;944493;594429131;1478171;523205;252881699
2021T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;399427;208400916;549827;190449;87764405
2021T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;373036;175615988;471428;189116;79133013
2021T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;502353;201507013;573621;162837;61733844
2021T1;LD AV;Resto;Total;Comercial;;303032;309572613;574725;173556;102065634
2021T1;LD Convencional;Total;Total;Comercial;;1885975;1017073785;3679943;788734;307081984
2021T1;MD AV;Total;Total;OSP;;1672380;289297149;989106;678760;82796307
2021T1;MD Convencional;Total;Total;OSP;;10147703;1536000309;6034475;2477493;207297046
2021T2;Cercanías;Total;Total;OSP;;108553398;5653988380;15805815;71910534;1356066479
2021T2;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;514780;235395160;713148;308607;117120044
2021T2;LD AV;Madrid-Barcelona;OUIGO;Comercial;;264680;165319128;324792;248975;138572494
2021T2;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1109242;696483380;1646079;874648;424432634
2021T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;490991;255550513;641530;383959;179162220
2021T2;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;447364;210708444;521880;356478;151736516
2021T2;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;529281;212508712;607317;315478;120694609
2021T2;LD AV;Resto;Total;Comercial;;341006;356223826;621514;304288;181995530
2021T2;LD Convencional;Total;Total;Comercial;;2032509;1094347906;3976649;1389659;552274139
2021T2;MD AV;Total;Total;OSP;;1928370;333083971;1135718;983484;125029620
2021T2;MD Convencional;Total;Total;OSP;;10674096;1640901239;6402434;3576023;321851094
2021T3;Cercanías;Total;Total;OSP;;113268393;5279028790;15207418;69059916;1315013560
2021T3;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;694000;316659424;880740;525111;211694985
2021T3;LD AV;Madrid-Barcelona;OUIGO;Comercial;;468280;292487688;574632;467173;260891298
2021T3;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1388002;879360707;2018207;1360617;674991416
2021T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;755951;391526347;999237;637909;305009689
2021T3;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;537166;253005186;672282;449244;198405607
2021T3;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;526124;209073818;623333;424736;162879422
2021T3;LD AV;Resto;Total;Comercial;;833363;491365857;683326;564607;358239086
2021T3;LD Convencional;Total;Total;Comercial;;2527249;1324800933;4816284;2262538;944506482
2021T3;MD AV;Total;Total;OSP;;2282604;395199488;1351204;1254703;159369691
2021T3;MD Convencional;Total;Total;OSP;;11450182;1767121173;7009390;4614019;446948723
2021T4;Cercanías;Total;Total;OSP;;102893372;5422409880;15048695;83924278;1612348817
2021T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;660267;301661599;877286;469681;179832564
2021T4;LD AV;Madrid-Barcelona;OUIGO;Comercial;;472352;295040832;579648;457722;257377013
2021T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1671707;1058550811;2347926;1679631;828483846
2021T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;754529;393626792;935886;638074;296876712
2021T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;724587;341033685;863400;631684;276869141
2021T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;635606;254282751;713168;508913;195523963
2021T4;LD AV;Resto;Total;Comercial;;596834;490594388;676418;493861;307433980
2021T4;LD Convencional;Total;Total;Comercial;;2441716;1271708611;4026442;2091766;829699704
2021T4;MD AV;Total;Total;OSP;;2422765;407544192;1383925;1609919;198278205
2021T4;MD Convencional;Total;Total;OSP;;11590361;1753905638;7000037;4744181;435666192
2022T1;Cercanías;Total;Total;OSP;;105172292;5564754953;15364830;84035872;1592310336
2022T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;655900;302708030;921731;422247;160425958
2022T1;LD AV;Madrid-Barcelona;OUIGO;Comercial;;466244;291229440;564660;459932;257151148
2022T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1671821;1053946071;2462069;1519918;752285140
2022T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;751230;392483635;952545;564669;263577649
2022T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;731832;344692872;887677;548754;241180702
2022T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;731944;292269993;848450;500646;191709471
2022T1;LD AV;Resto;Total;Comercial;;619326;481449835;778242;469995;284573077
2022T1;LD Convencional;Total;Total;Comercial;;2604748;1307708172;4647075;1843642;727692400
2022T1;MD AV;Total;Total;OSP;;2632136;441069440;1476850;1541924;188588368
2022T1;MD Convencional;Total;Total;OSP;;12073771;1791507855;7184369;4310421;391001290
2022T2;Cercanías;Total;Total;OSP;;106111167;5601678121;15457942;92179553;1750014519
2022T2;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;731790;340977954;966921;578063;227449145
2022T2;LD AV;Madrid-Barcelona;OUIGO;Comercial;;618435;386384445;567765;608365;344671513
2022T2;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1919929;1207805369;2538084;2051267;1020686407
2022T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;856836;449681268;1048564;811635;375970815
2022T2;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;866071;407919441;918281;801991;351254755
2022T2;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;847592;339030785;936264;708444;271187440
2022T2;LD AV;Resto;Total;Comercial;;694866;586350837;920667;702180;438076428
2022T2;LD Convencional;Total;Total;Comercial;;2844220;1396024794;4847264;2508561;1000310588
2022T2;MD AV;Total;Total;OSP;;2977908;494311370;1687387;2123938;265382003
2022T2;MD Convencional;Total;Total;OSP;;12548985;1895692569;7617984;5663753;539872572
2022T3;Cercanías;Total;Total;OSP;;106948197;5659713823;15511095;87111087;1656276816
2022T3;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;733614;339445279;990013;575393;236327213
2022T3;LD AV;Madrid-Barcelona;OUIGO;Comercial;;841377;525656007;660744;797537;448094581
2022T3;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1787486;1122460079;2331075;1917371;953952543
2022T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;1029881;538206078;1124212;861196;411972354
2022T3;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;828609;390274839;1014069;714433;311662753
2022T3;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;848578;341948270;909495;716050;273218958
2022T3;LD AV;Resto;Total;Comercial;;823129;700293130;992805;780233;512831810
2022T3;LD Convencional;Total;Total;Comercial;;3008227;1503235786;5324733;2808089;1129022873
2022T3;MD AV;Total;Total;OSP;;3157196;526297277;1767857;2089208;260636721
2022T3;MD Convencional;Total;Total;OSP;;12907577;1944444275;7664406;6520333;671638603
2022T4;Cercanías;Total;Total;OSP;;111440041;5843907136;15759348;109598953;2074255973
2022T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;724556;336832646;1009731;502959;205543473
2022T4;LD AV;Madrid-Barcelona;Iryo;Comercial;;234918;147058668;349308;119667;68667453
2022T4;LD AV;Madrid-Barcelona;OUIGO;Comercial;;839850;524771874;570870;843008;475097327
2022T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1974136;1227731692;2717202;1928312;941794468
2022T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;882869;463023162;1107436;766308;354542195
2022T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;845767;398355489;1053967;745094;324064558
2022T4;LD AV;Madrid-Valencia;Iryo;Comercial;;25260;9876660;23460;7602;2882757
2022T4;LD AV;Madrid-Valencia;OUIGO;Comercial;;559391;222637618;339892;368629;146714342
2022T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;907735;362867934;972943;646445;244934014
2022T4;LD AV;Resto;Total;Comercial;;757533;564636496;1154591;682891;399293817
2022T4;LD Convencional;Total;Total;Comercial;;2898487;1460638485;5335779;2341510;918861509
2022T4;MD AV;Total;Total;OSP;;3538886;593263918;1831396;2809535;357686261
2022T4;MD Convencional;Total;Total;OSP;;13629435;2019178891;7808477;9379095;996405851
2023T1;Cercanías;Total;Total;OSP;;117939161;5826233100;15846837;110598158;1978653413
2023T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;791484;368787756;1129797;506495;212610494
2023T1;LD AV;Madrid-Barcelona;Iryo;Comercial;;838840;525113840;1236976;544391;300351868
2023T1;LD AV;Madrid-Barcelona;OUIGO;Comercial;;790986;493847070;560886;712748;398945618
2023T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1989396;1216683440;2811638;1869892;899547340
2023T1;LD AV;Madrid-Barcelona;Total;Comercial;116962273;;;;;
2023T1;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;1748;900220;2060;1455;697612
2023T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;933643;486976877;1158149;740298;340500727
2023T1;LD AV;Madrid-Sevilla;Iryo;Comercial;;1748;826804;1892;1443;641233
2023T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;852322;396662203;1096270;747411;320906475
2023T1;LD AV;Madrid-Valencia;Iryo;Comercial;;286698;112098918;263534;144874;56011971
2023T1;LD AV;Madrid-Valencia;OUIGO;Comercial;;363935;144846130;237606;273713;108937774
2023T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;920158;367162300;1017258;665213;251354384
2023T1;LD AV;Madrid-Valencia;Total;Comercial;30470686;;;;;
